xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089392,Pica pica,Eurasian Magpie,David Darrell-Lambert,United Kingdom,2026-03-17,08:00,41,A,call,field recording,no,[],48000,https://xeno-canto.org/1089392,https://xeno-canto.org/1089392/download,
1084550,Pica pica,Eurasian Magpie,Johannes Worona,Germany,2026-02-24,12:48,33,A,call,field recording,no,[],44100,https://xeno-canto.org/1084550,https://xeno-canto.org/1084550/download,
1071574,Pica pica,Eurasian Magpie,Esperanza Poveda,Spain,2025-05-23,?,48,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/1071574,https://xeno-canto.org/1071574/download,
1070764,Pica pica,Eurasian Magpie,Jelle Scharringa,Netherlands,2026-01-05,12:00,45,A,call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/1070764,https://xeno-canto.org/1070764/download,
1059919,Pica pica,Eurasian Magpie,Mark Plummer,United Kingdom,2025-11-22,8:48,31,A,call,field recording,no,[],32000,https://xeno-canto.org/1059919,https://xeno-canto.org/1059919/download,
1042768,Pica pica,Eurasian Magpie,Sonothèque ADVL,France,2025-07-18,10:00,19,A,"call, Bavardage",field recording,no,[],48000,https://xeno-canto.org/1042768,https://xeno-canto.org/1042768/download,
1039731,Pica pica,Eurasian Magpie,Johannes Worona,Germany,2025-09-09,08:33,6,A,"call, subsong",field recording,no,[],44100,https://xeno-canto.org/1039731,https://xeno-canto.org/1039731/download,
1034267,Pica pica,Eurasian Magpie,Frank Holzapfel,Germany,2025-08-22,13:20,10,A,call,field recording,no,[],44100,https://xeno-canto.org/1034267,https://xeno-canto.org/1034267/download,
1034265,Pica pica,Eurasian Magpie,Frank Holzapfel,Germany,2025-08-22,13:11,8,A,call,field recording,no,[],44100,https://xeno-canto.org/1034265,https://xeno-canto.org/1034265/download,
1031048,Pica pica,Eurasian Magpie,Manuel Grosselet,France,2025-06-10,07:08,53,A,call,field recording,yes,"[""Fringilla coelebs"", ""Turdus merula"", ""Coloeus monedula"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/1031048,https://xeno-canto.org/1031048/download,
1005027,Pica pica,Eurasian Magpie,Manuel Grosselet,France,2025-06-03,07:34,34,A,call,field recording,yes,"[""Fringilla coelebs"", ""Parus major"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/1005027,https://xeno-canto.org/1005027/download,
999018,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2025-05-13,20:30,4,A,alarm call,field recording,no,[],48000,https://xeno-canto.org/999018,https://xeno-canto.org/999018/download,
999017,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2025-05-13,05:30,28,A,call,field recording,no,[],48000,https://xeno-canto.org/999017,https://xeno-canto.org/999017/download,
987312,Pica pica,Eurasian Magpie,SonoNatura,Spain,2025-04-09,08:30,14,A,call,field recording,no,[],44100,https://xeno-canto.org/987312,https://xeno-canto.org/987312/download,
974516,Pica pica,Eurasian Magpie,Johannes Worona,Germany,2025-02-19,09:25,45,A,call,field recording,no,[],44100,https://xeno-canto.org/974516,https://xeno-canto.org/974516/download,
955958,Pica pica,Eurasian Magpie,Mark Plummer,United Kingdom,2024-12-14,07:51,5,A,call,field recording,no,[],48000,https://xeno-canto.org/955958,https://xeno-canto.org/955958/download,
952664,Pica pica,Eurasian Magpie,Johannes Worona,Germany,2024-11-27,08:01,21,A,call,field recording,yes,[],44100,https://xeno-canto.org/952664,https://xeno-canto.org/952664/download,
947563,Pica pica,Eurasian Magpie,Joost van Bruggen,Netherlands,2024-10-06,09:16,26,A,"aberrant, call",field recording,no,[],48000,https://xeno-canto.org/947563,https://xeno-canto.org/947563/download,
938125,Pica pica,Eurasian Magpie,João Tomás,Spain,2024-09-29,13:15,4,A,"alarm call, call, Wing beats sound.",field recording,yes,"[""Ficedula hypoleuca""]",44100,https://xeno-canto.org/938125,https://xeno-canto.org/938125/download,
938109,Pica pica,Eurasian Magpie,João Tomás,Spain,2024-09-29,13:30,4,A,"call, Raspy call, social calls",field recording,yes,"[""Ficedula hypoleuca""]",44100,https://xeno-canto.org/938109,https://xeno-canto.org/938109/download,
